content,cleaned_text
"mau top up saldo flazz , transaksi gagal tetapi saldonya kepotong. Mana fiturnya ribet banget uangnya gabisa balik lagi ke saldo kita ( dihubungin gaada respon sm sekali dri pihak BCA ) saya coba top up di ewallet bisaa , walaupun sempet gagal sekali tpi saldonya dibalikin nya cepet ( belajar dari fitur ewallet skrg ) jangan nyusahin nasabah .",top up saldo flazz transaksi gagal saldo potong fiturnya ribet uang gabisa saldo dihubungin gaada respon sm dri bca coba top up ewallet bisaa sempet gagal tpi saldo dibalikin cepet ajar fitur ewallet skrg jangan nyusahin nasabah
Terimakasih membuat transaksi rakyat Indonesia lebih mudah semoga kedepan tetap konsisten,terimakasih transaksi rakyat indonesia mudah moga depan konsisten
baik is the best tp potong tinggi,is the best tp potong
👍,
"apk gajelas,tiap dibuka bug, suka errorlah, sering ngebug, jd malas gw buka rekening kalo gak kebutuhan kerja aja kemarin,Ni OTP aja nunggu besok sedangkan gw butuh buat berobat sekarang, apa nunggu meninggal dulu baru diperbaiki?",apk gajelas buka bug suka errorlah ngebug jd malas gw buka rekening kalo butuh kerja kemarin ni otp nunggu besok gw butuh obat nunggu tinggal baik
gk ush keseringan update knpa update banyak bug nya tmbh lemot.gk di update gk bisa buka emang ngeselin,ush sering update knpa update bug tmbh update buka emang ngeselin
"saya menyarankan transaksi tarik tunai tanpa kartu tidak di batasi hanya 1.250.000 lebih baik di buat sma seperti menggunakan kartu, jdi tidak di batasi pertransaksi, di buatlah pilihan maksimal 5.000.000 bukan hanya 1.250.000",saran transaksi tarik tunai kartu tidak batas sma kartu jdi tidak batas transaksi buat pilih maksimal bukan
perbaili dong pas masuk di suruh pilih kode negara rpi tidak ada indonesia gimana si my bca ini?!!!!!!!,perbaili pas masuk suruh pilih kode negara rpi tidak indonesia gimana si bca
pas reg GK ada KODE HP INDONESIA,pas reg kode hp indonesia
ngebug parah... ndk recomend lah,ngebug parah ndk recomend
sangat terbantu,bantu
"saya sudah chat cs ngobrol bahkan sampai disarankan hapus app buat bisa login dengan biometrik tapi ujung²nya tetap sama aja, setelah liat rating versi hp sama ternyata mereka ngeluh hal yang sama hadehhh. tolong lah login masukin password ketika belanja diluar itu ribet dan berisiko diintip orang juga tolong solusinya ini",chat cs ngobrol saran hapus app login biometrik ujung nya liat rating versi hp ngeluh hadehhh tolong login masukin password belanja luar ribet risiko intip orang tolong solusi
"kenapa pas login, terus mau mencantumkan nomor telepon tidak ada kode negara Indonesia ya? terus saya login ke aplikasinya gimana dong inii?",pas login cantum nomor telepon tidak kode negara indonesia login aplikasi gimana ini
baik,
"sekarang kok susah login sih loading terus,mau bayar qris jadi susah.",susah login sih loading bayar qris susah
BCA terpercaya,bca percaya
"tidak bisa verifikasi wajahpas waktu daftar, tailah",tidak verifikasi wajahpas daftar tailah
"kok gak bisa login , gadak no +62 nya",login gadak no
suka eror juga,suka eror
"Ganti device dibuat ribet, foto selfie utk verifikasi gagal terus, giliran video call gak bisa nyambung",ganti device ribet foto selfie utk verifikasi gagal gilir video call nyambung
mantap cepat,mantap cepat
tidak bisa masukan kode nomor telepon,tidak masuk kode nomor telepon
"aplikasi busuk, tiap mau verifikasi muka saat pertama kali login, gagal terus, akhirnya harus vidcall CS, kacau",aplikasi busuk verifikasi muka kali login gagal vidcall cs kacau
"gajelas mau daftar telepon tapi gak ada buat Indonesia (+62), hapus aja apk ga guna",gajelas daftar telepon indonesia hapus apk
bsgus sekali,bsgus
verivikasi wajah gagal mulu cuma ganti hp doang padahal,verivikasi wajah gagal mulu ganti hp doang
sangat sangat membantu terimakasih myBCA,bantu terimakasih mybca
"verifikasi wajah gagal, padahal muka udah jls, mintol buka blokir via halo bca gk bisa, malah di suruh kecabang, ribet sekarang, gk kaya dulu",verifikasi wajah gagal muka jls mintol buka blokir via halo bca suruh cabang ribet kaya
"KELAMAAN UNTUK VERIFIKASI WAJAH, DI SETEL LAGU MULU. AKUN KE LOGOUT PADAHAL MAU GESEK TUNAI. NGEREPOTIN BANGET SUMPAH DAH",verifikasi wajah setel lagu mulu akun logout gesek tunai ngerepotin sumpah dah
"pindah prangkat tapi kesalahan scan wajah. ga bisa login, harus telpon call center, nah masalahnya call center cuma jam 6 - 22 malam. padahal malam harus transfer uang. yang prangkat di lama juga kekunci. alhasil harus ke KCP Bca. tersinggung kadang berasa dicurigai maling bank sendiri. Rating 3,0 pantasan orang asing takut investasi di negeri ini. hhh",pindah prangkat salah scan wajah login telpon call center call center jam malam malam transfer uang prangkat kunci alhasil kcp bca singgung kadang asa curiga maling bank rating pantas orang asing takut investasi negeri hhh
bagus fitur layanannya,bagus fitur layan
ups.. terjadi kesalahan mau verifikasi tidak bisa teruss...,ups salah verifikasi tidak teruss
aplikasi paling ribet sumpah,aplikasi ribet sumpah
lemot,
"bayar qris sangat sering berkali kali gagal, gk tau di igd sangat mebutuhkan, apk ini sangat tidak rekomend sekali, bagi yg butuh apk cepat tanggap apk ini sangat buruk",bayar qris kali kali gagal tau igd mebutuhkan apk tidak rekomend butuh apk cepat tanggap apk buruk
lengkap,lengkap
sering id terblokir,id blokir
setelah di update makin lemot tolong perbaiki lagi bug nya.. mau tf aja loading lambat sampai harus keluar dr aplikasi😭 untung saldo gak ke potong,update tolong baik bug tf loading lambat dr aplikasi untung saldo potong
memudakan layan kami.sangaat puas,muda layan sangaat puas
"Kenapa ya bca ribet banget kalo mau login ..harus perbarui ini itu aku mau login tapi verifikasi wajah gak bisa harus kecabang dulu ,harus perbarui verifikasi wajahnya , asli ribet dan bikin sulit",bca ribet kalo login baru login verifikasi wajah cabang baru verifikasi wajah asli ribet bikin sulit
tampilkan my BCA saya di branda hp,tampil bca branda hp
"semalem tf dr e wallet ke BCA tapi sampe skrg belum masuk² padahal dr e wallet nya uda sukses, gimana si BCA ni",semalem tf dr wallet bca sampe skrg belum masuk dr wallet uda sukses gimana si bca ni
"kok ga bisa masuk yaa, tulisannya terjadi kesalahan terus... takut ke blokir lama""... aneh banget",masuk yaa tulis salah takut blokir aneh
Ribet,ribet
sangat mudah,mudah
"tlong ino gak bs buka aplikasi myBCA di perangkat Xiaomi dengan android versi 16, setiap mau buka aplikasi langsung keluar lagi",tlong ino bs buka aplikasi mybca perangkat xiaomi android versi buka aplikasi langsung
yesel daftar uwang sayah g masuk ilang teraster dua kali g ada yang masuk yesel sumpah aplikasi g amanah,yesel daftar uwang sayah masuk ilang aster kali masuk yesel sumpah aplikasi amanah
buat vertifikasi wajah gk bisa dan itu berulang kali,vertifikasi wajah ulang kali
bagus,bagus
josss,josss
bagus,bagus
halo my bca tolong diperbaharui dong aplikasnya suka lemot dan harus restart terus jd terkendala klu transaksi,halo bca tolong baharu aplikasnya suka restart jd kendala klu transaksi
good,good
setaaan doang.. di update bukannya lancar malah lemot sampai gak bisa di buka. emangnya bca gak bisa cari IT yg profesional.. IT bloon kok di pake..,setaaan doang update lancar buka emang bca cari it profesional it bloon pake
yampun ribet banget deh masa kalau mau bikin rekening harus video call iya kalau bisa ini udah coba beberapa kali dan cobanya pas jam kerja masih gak bisa,yampun ribet deh bikin rekening video call iya coba kali coba pas jam kerja
saya mengalami kendala tidak bisa. di buka aplikasinya ketika dli klik kluar terus kenapa ya,alami kendala tidak buka aplikasi dli klik kluar
oke,oke
masa dua kali transaksi d potongan nya 150rb ga jelas BCA kapok,kali transaksi potong rb bca kapok
kenpa pas mau poto diri sllu ga bisa,kenpa pas poto sllu
bagus sangat membantu,bagus bantu
"BCA stress, saldo tiba2 kepotong 50rb padahal admin 15 rb per bulan, gajelas, ga transparan.",bca stress saldo potong rb admin rb gajelas transparan
gangguan trus ini gmana dah,ganggu trus gmana dah
"Gimana ya.. Aplikasinya emang bagus. tapi kenapa pas saya mau login selalu da notif toast ""Matikan Opsi Pengembang""? Padahal fitur itu sudah saya matikan, aksesibilitas juga sudah saya matikan, overlay app juga sudah + Restart Hp. Tapi tetep muncul. Benerin dong. Masa di handphone lain yang opsi developernya nyala aman aja.",gimana aplikasi emang bagus pas login da notif toast mati opsi kembang fitur mati aksesibilitas mati overlay app restart hp tetep muncul benerin handphone opsi developer nyala aman
"udah gak support hp kentang, yaudah lah emang paling bener pake dana atau ovo",support hp kentang yaudah emang bener pake dana ovo
aplikasi bobrok,aplikasi bobrok
apk nya bagus mudah d gunakan,apk bagus mudah
mohon diperbaiki lagi karna Klo Mau Loding Gak bisa2 jadi susah transaksi ujung nya Harus ke bank juga hadeeeh,mohon baik karna klo loding susah transaksi ujung bank hadeeeh
"kenapa setelah hp saya update OS ke android 16, ko kode Biometrik nya gagal terus ya? apa masih ada bug di apk nya ?? atau apk yg blom support ke android 16? atau bagaimana? soalnya sebelum nya gak ada masalah waktu masih os android 15. tolong penjelasan nya. terimaksih",hp update os android ko kode biometrik gagal bug apk apk blom support android os android tolong jelas terimaksih
"Kurang srek aja dengan mybca sekarang menu makin komplek,aksesibilitas meski di matikan dengan alasan keamanan, lah kenapa ga dibuat protect tanpa harus mengorbankan yang lain. kan kebutuhan orang beda beda. Akhir kata MyBca ga se ""worth it"" dulu",kurang srek mybca menu komplek aksesibilitas mati alas aman protect korban butuh orang beda beda mybca worth it
saldo tidak masuk ke rekening tujuan,saldo tidak masuk rekening tuju
aplikasi jelek gak jelas. error terus,aplikasi jelek error
"gagal login , Kode Negara Indonesia gk ada , makin kesini makin sampah yah ini apk",gagal login kode negara indonesia kesini sampah yah apk
"apasih mau registrasi error mulu, app gk jelas",apasih registrasi error mulu app
abis di update malah ga bisa masuk,abis update masuk
aplikasi sangat membantu,aplikasi bantu
ok,ok
mau login malah ngestuk di no telepon karna kode negara Indonesia tidak ada,login ngestuk no telepon karna kode negara indonesia tidak
sering eror,eror
"habiss update jadi lelett poll, transfer dan pembayaran sangat lelet. bahkan untuk sekedar cek saldo muncul ""saldo tidak dapat di akses"" mending versi yg sebelumnya",habiss update lelett poll transfer bayar lelet dar cek saldo muncul saldo tidak akses mending versi
saya selalu mendo'akan my BCA mudah-mudahan sukses & tidak ada kendala di my BCA ini,mendo bca mudah mudah sukses tidak kendala bca
"kirain apply cc tambahan BCA lewat myBCA cepet,ternyata lama juga",kirain apply cc tambah bca mybca cepet
"baru buka rekening, saldo ngilang 50K, sekarang login susah padahal koneksi stabil.",buka rekening saldo ngilang login susah koneksi stabil
Kenapa saya tidak bisa pakai M Banking ya,tidak pakai banking
biometrik error tidak memudahkan,biometrik error tidak mudah
sangat bagus,bagus
"Tidak bisa scan QRIS selalu erorr, tolong segera perbaiki",tidak scan qris erorr tolong baik
good,good
gblg anjg tf 50rb masuk 17rb,gblg anjg tf rb masuk rb
Dulu pas pertama download apk mybca udh excited banget biar gampang transaksi kalo belanja apapun..ehh ini udh kejadian 2x bayar gacoan pake qris saldo ke tarik ke gacoan nya ga masuk..ke jadian tdi siang sama beberapa bulan yang lalu...selain itu sering update sama sering eror pula.!!!,pas download apk mybca udh excited biar gampang transaksi kalo belanja apa ehh udh jadi bayar gaco pake qris saldo tarik gaco masuk jadi tdi siang update eror
susah login,susah login
"ini PENTING, TOLONG DI PERHATIAN UNTUK PENYEDIA APLIKASI MY BCA, NOMER TRANSFER KE TUJUAN KENAPA SEKARANG NGGAK PAKAI ANGKA YG TEBAL AJA KAYAK DULU??? SEKARANG ANGKA DI BIKIN AGAK NGEBLUR, BIKIN REPOT DAN TAKUT SALAH TRANSFER. MY BCA MAKIN PAYAHHH",tolong perhati sedia aplikasi bca nomer transfer tuju nggak pakai angka tebal kayak angka bikin ngeblur bikin repot takut salah transfer bca payahhh
saya kecewa dg my BCA untuk reset password hanya satu yaitu menggunakan no kartu ATM . bayangkan jika saya kecopetan KTP hilang ATM hilang sedang uang cuma ada di rekening.karna panik salah isi pasword dan untuk reset harus Dateng ke kantor dg harus urus KTP juga . mohon untuk ditambahkan alternatif lain untuk reset password misalnya face identitas.atau fingerprint.....saya baru ngerasain pahitnya jadi nasabah online BCA ..😭😡,kecewa dg bca reset password no kartu atm bayang copet ktp hilang atm hilang uang rekening karna panik salah isi pasword reset dateng kantor dg urus ktp mohon alternatif reset password face identitas fingerprint ngerasain pahit nasabah online bca
di opsi nomor telephone tidak ada code negara indonesia,opsi nomor telephone tidak code negara indonesia
Bagus,bagus
aku isi saldo ga masuk ke sistem nya kecewa bgt sih,isi saldo masuk sistem kecewa bgt sih
Alhamdulillah,alhamdulillah
dicoba dulu.,coba
eror terus masuk dengan biometrix,eror masuk biometrix
"SELALU KELUAR, NGABISIN PULSA TERUS, SEKALI LOGIN TBTB CLOSE SENDIRI LOGIN LAGI PAKE PULSA LAGI. NGERUGIIN!!",ngabisin pulsa login tbtb close login pake pulsa ngerugiin
"ko bisa y gra2 gw cmn instal doang brpa buln,trus gw dowloand lg pas mau tf pin slh dh jlas2 it pin gw di blng slh.ahira ny ke blokir.",ko gra gw cmn instal doang brpa buln trus gw dowloand lg pas tf pin slh dh jlas it pin gw blng slh ahira ny blokir
akun saya tiba2 diblokir,akun blokir
mantul,mantul
sangat kecewa tiba tiba akun saya di blokir saya salah apa uang saya di akun 11 JT lebih tapi my bca tidak bertanggung jawab.,kecewa akun blokir salah uang akun jt bca tidak tanggung
kenapa registrasinya TDK berjalan lancar,registrasi tdk jalan lancar
lemot kali servernya utk dipake sehari-hari. sering sulit login akses,kali servernya utk dipake hari sulit login akses
"KOK NGEBUG GIMANA, UANG TERAKHIR SAYA TINGGAL 100K DI APLIKASI INI GABISA DI AMBIL GTU??!!",ngebug gimana uang tinggal aplikasi gabisa ambil gtu
bug anjeng aplikasi macam apa ini,bug anjeng aplikasi
banyak bug,bug
good aplikaai,good aplikaai
banyak BUG apk di buka tidak bisaaaaa apa iniiii,bug apk buka tidak bisaaaaa iniiii
kenapa ga bisa diinstal kehpsamsung m34?,diinstal kehpsamsung
kenapa aplikasi inj gk bisa di bug sistem mendeteksi adanya bug di sitem,aplikasi inj bug sistem deteksi bug sitem
ok,ok
keterangan bug gak bisa masuk tau² keluar sendiri.keterangan suruh nunggu pengembang memperbaharui kesalahan,terang bug masuk tau terang suruh nunggu kembang baharu salah
ok,ok
"apk ga jelas keluar""mulu",apk mulu
sangat membantu bertransaksi,bantu transaksi
kok ngak bisa login pas login kepental sendiri,ngak login pas login pental
sya mau login ke pental mulu keluar lah masuk lagi gk bisa gimna ini setiap mau login gk bisa pulsa ada tapi gk bisa emng gk jelas buat apa sya vertifikasi?,sya login pental mulu masuk gimna login pulsa emng sya vertifikasi
woooyy kenapa ini apknya ngak bisa dibuka?,woooyy apknya ngak buka
"tiba2 mybca ga isa dibuka. saya instal ulang jg sama. "" aplikasi ini ditutup , karena aplikasi ini memiliki bug "" knp ini",mybca isa buka instal ulang jg aplikasi tutup aplikasi milik bug knp
ini lg error kahh gabisa dibuka apknya,lg error kahh gabisa buka apknya
"setelah di update,malah force close mulu.herann deh.",update force close mulu herann deh
"setelah update bukan nya makin bagus malah banyak bug, tiap masuk myBCA malah keluar terus ga bisa masuk.. kenapa ini myBCA oy",update bukan bagus bug masuk mybca masuk mybca oy
💩,
good,good
kenapa setiap mau login di dini hari selalu force close?,login force close
gajelas login gabisa baru aja dibuka udah keluar sendiri,gajelas login gabisa buka
Apk longor. GK bisa di buka,apk longor buka
di buka mendal terus,buka dal
udah mulai cepat lafi,cepat lafi
membantu,bantu
ng bug terus bos,ng bug bos
setelah di up malah gk bisa di buka,up buka
tidak bisa masuk karena app memiliki bugs,tidak masuk app milik bugs
knpa setelah daftar mlh gx bisa dibuka aplikasinya tolong di bantu diperbaiki ya,knpa daftar mlh gx buka aplikasi tolong bantu baik
kenapa aplikasi nya susah di buka,aplikasi susah buka
sering bug lagi buka blokir malah ke luar dan ga bisa masuk lagi,bug buka blokir masuk
kenapa setelah update malah gak bisa di buka aplikasinya,update buka aplikasi
aplikasi apa sih ini transfer masuk nya lama,aplikasi sih transfer masuk
jangan berikan data saya digunakan orang lain,jangan data orang
susah banget dapet otp ga jelas,susah dapet otp
"contoh aplikasi brimo tuh ,, setiap transaki langsung ada mutasi /aktipitas nya ,, ini mah gak bisa langsung cek hasil teransaksi ribettt",contoh aplikasi brimo tuh transaki langsung mutasi aktipitas mah langsung cek hasil teransaksi ribettt
mantap,mantap
gajelas,gajelas
bisa gak kirim kode otp lewat wa atau email,kirim kode otp wa email
"lemot banget bukanya, kadang pas tf loading nya lama, padahal sinyalnya ok, sangat mengganggu",buka kadang pas tf loading sinyal ok ganggu
"kenapa skrang lemot,mau masuk aplikasi susah banget 🥲",skrang masuk aplikasi susah
bank gajelas ribet banget cuma bikin rekening bank aneh banget,bank gajelas ribet bikin rekening bank aneh
pasword id MY BCA saya kadang bisa di gunakan kadang tidak aws ya kalau gini terus AQ angkat urusan yang ini. ddi rapat umum pemegang saham tahunan ( RUPS) sumpah ganggu banget sama pelayanan m bbekingnya,pasword id bca kadang kadang tidak aws gin aq angkat urus ddi rapat pegang saham tahun rups sumpah ganggu layan bbekingnya
kenapa stelah login harus tambah kan no handpone padahal no handpone sudah terdaftar dan aneh nya kode negara indonesia tidak ada,stelah login no handpone no handpone daftar aneh kode negara indonesia tidak
luar biasa,
tolong dong my bca setelah update ko jadi lemot banget ya,tolong bca update ko
"tiap hari trouble muluuuu, mau masuk gabisa2 mulu. heran",trouble muluuuu masuk gabisa mulu heran
"bikin aplikasi bagus2 tapi pengaduan ttep harus call.. gimana sih, mau lapor pengembalian dana karena top up flazz gagal tapi saldo kepotong. harus call. duitt lagi",bikin aplikasi bagus adu ttep call gimana sih lapor kembali dana top up flazz gagal saldo potong call duitt
Trima kasih myBCA yg dengan sangat mudah membantu menggunakan dalam bertransaksi sehari hari,trima kasih mybca mudah bantu transaksi hari
kenapa gak bisa daftar online ya kenapa jaringan nya rifak berlaku nasional? ada yg bosa ada yg tidak? mau ngambil data doamg ya,daftar online jaring rifak laku nasional bosa tidak ngambil data doamg
bagus,bagus
ini gimana ya ko saya kaga ada kode negara indonesia?,gimana ko kaga kode negara indonesia
"pdhl di apk warnanya bagus n lucu jir, kirain pas kartunya dicetak ikut kaya diaplikasi,, malah biasa aja warna biru wkwk kecewa dikit",pdhl apk warna bagus lucu jir kirain pas kartu cetak kaya aplikasi warna biru wkwk kecewa dikit
ok,ok
"apakah saya bisa mendaftar apk mybca , karna saya blum punya kartu bca",daftar apk mybca karna blum kartu bca
parah ada masalah sat login suruh vermuk gagal trus udah lapor sama bae harus vermuk sedangkan vermuk gagal mulu parah,parah sat login suruh vermuk gagal trus lapor bae vermuk vermuk gagal mulu parah
Setelah di Update KeNaPa Jadi LemoOotttt. . . .,update lemoootttt
password bener tapi disalahin aneh,password bener disalahin aneh
gajelas pindah device gagal mulu. video call cs juga gabisa tersambung. banyak bug aplikasinya,gajelas pindah device gagal mulu video call cs gabisa sambung bug aplikasi
susah verifikasi wajah pas login dihp baru.. pdhl smuanya mengikuti arahan,susah verifikasi wajah pas login dihp pdhl smuanya ikut arah
gaenak admin trossssss,gaenak admin trossssss
bagus aja,bagus
cukup membantu,bantu
kenapa sekarang ga ada menu masuk dengan sidik jari,menu masuk sidik jari
sya kecewa banget padahal sya udh lama pake tpi mengecewakan sekali🙏di toup ratusan yg masuk cmn puluhan ribu🙏,sya kecewa sya udh pake tpi kecewa toup ratus masuk cmn puluh ribu
"sebenernya agak ribet ya my bca ini kalau mau buat bca id harus kekantor terus saya mau tf belum bisa dan harus aktivasi kekantor juga,",sebenernya ribet bca bca id kantor tf belum aktivasi kantor
Bagus,bagus
muak udah sama ni aplikasi udah mah login ga bisa bisa eh udah bisa malah minta login lagi habis habisin pulsa aja tolong nih di bantu pihak BCA masa iya BCA gini malu malu in,muak ni aplikasi mah login eh login habis habisin pulsa tolong nih bantu bca iya bca gin malu malu in
bru kmrn udah bisa buka tapi error smpe 2 hari ga bisa login my bca permintaan masukan nmr tlp dan adaa kode negara cm indo ga ada gmn ini mau login,bru kmrn buka error smpe login bca minta masuk nmr tlp adaa kode negara cm indo gmn login
"Saya tidak diterima jadi Nasabah BCA, walaupun punya gaji tetap sebagai ASN. Tapi temanku yg blom punya kerjaan tetap diterima. Kocak 😅",tidak terima nasabah bca gaji asn teman blom kerja terima kocak
mau login suruh update di klik malah muter2 doang,login suruh update klik muter doang
"transferan dari luar negri kalau hari libur dan tanggal merah selalu pending, di Terima pas hari kerja, kalau bank lain hari apapun bisa tanpa pending",transfer negri libur tanggal merah pending terima pas kerja bank apa pending
masa setiap bulan potonga 80rb😬😬😮‍💨,potonga rb
saa kasik 2star karena kesulitan reset pasword id MyBCA padahal data roaming dan pulsa ada namun saat login tertulis terjadi kesalahan silahkan coba lagi.. skrg saya dimalaysia. tolong lah bca reset bamking pasword yg lin tidak maslah numun ini mybca sulit sekali... tolong masukan pihak bank bca agar mybca saya bisa digunakan kembali. trims kasih,saa kasik star sulit reset pasword id mybca data roaming pulsa login tulis salah silah coba skrg dimalaysia tolong bca reset bamking pasword lin tidak mas numun mybca sulit tolong masuk bank bca mybca trims kasih
ok,ok
semakin kesini layanan aplikasi my BCA tambah ancur... verifikasi wajah hampir 30x gak ada yg berhasil.... call costumer service malah menyalah kan jaringan... macam lempar batu sembunyi tangan ajah kau bca... payah,kesini layan aplikasi bca ancur verifikasi wajah hasil call costumer service salah jaring lempar batu sembunyi tangan ajah kau bca payah
top,top
"kenapa ya ini aplikasi sering uninstall sendiri? padahal ga aku hapus / uninstall. udah diinstal besoknya hilang (uninstall sendiri), aku instal lagi hilang lagi, gitu aja terus setiap hari. cape banget dah harus tiap hari instal lagi dan lagi.",aplikasi uninstall hapus uninstall diinstal besok hilang uninstall instal hilang gitu cape dah instal
sangat membantu sekali,bantu
ngelag bgt bca skrg gasuka. pdhl sinyal aku bagus,ngelag bgt bca skrg gasuka pdhl sinyal bagus
"login susah minta ampun, minta otp pakai pulsa, mau verifikasi wajah gak bisa, apa harus pakai lampu mercusuar baru bisa wajah tampan saya terdeteksi? aneh.",login susah ampun otp pakai pulsa verifikasi wajah pakai lampu mercusuar wajah tampan deteksi aneh
login lemot,login
buka aplikasi nya aga susah sinyal,buka aplikasi aga susah sinyal
"hati-hati jika transaksi gagal dari pihak bank susah mengembalikan kembali saldo, perampokan jaman now!! sampai saat ini saya belum mendapatkan pengembalian uang qris yg dipotong (msh dalam proses) dr tgl 12 mei 2026",hati hati transaksi gagal bank susah kembali saldo ampo jaman now belum kembali uang qris potong msh proses dr tgl mei
reset password paling ribet.. Udah pernah pakai aplikasi bank lain dan aman² aja.. tapi baru kali ini komplain aplikasi bank.. mengecewakan,reset password ribet pakai aplikasi bank aman kali komplain aplikasi bank kecewa
"Tidak ada pilihian No HP Negara Indonesia, tidak ada",tidak pilihian no hp negara indonesia tidak
"bagus, lebih bagus dari bca mobile",bagus bagus bca mobile
selalu aja gagal bikin rek,gagal bikin rek
eror parah masa BCA id sama password udah bener masih gak bisa login..??,eror parah bca id password bener login
blm ada pengalaman,blm alam
"saya mau registrasi di mybca. lalu di tahap vidio call dengan CS kenapa gk bisa2 udh seminggu lebih saya coba tiap hari. selalu keterangan nya ""oops terjadi kesalahan silahkan coba lagi"" masaaa begitu terus. jaringan saya stabill. bahkan di coba pakek wifi pun masih sama",registrasi mybca tahap vidio call cs udh minggu coba terang oops salah silah coba masaaa jaring stabill coba pakek wifi
"update aplikasi terus log out sendiri, pas login minta lagi nomor buat verifikasi tapi gak ada pilihan Indonesia (+62) buat kode negara, ya gimana bisa login. mantap 👽",update aplikasi log out pas login nomor verifikasi pilih indonesia kode negara gimana login mantap
"memudahkan semua segala transaksi,, good bangeet",mudah transaksi good bangeet
"sangat membantu, mudah dimengerti",bantu mudah erti
bagus,bagus
gangguan terooooossssss. lagi urgent malah gangguan.,ganggu terooooossssss urgent ganggu
trimakasih myBCA,trimakasih mybca
"biaya admin xpresi di saya 10 rb, di teman saya 2 rb, apa yang membedakan biaya ini",biaya admin xpresi rb teman rb beda biaya
Setelah d update gak bisa login malah terblokir info k cs katanya di bantu malah tetap gak bisa . payaaaahhhh,update login blokir info cs bantu payaaaahhhh
tidak senang sekali kecewakan aja ku meskin,tidak senang kecewa ku meskin
ga bisa nerima OTP pengaturan sudah di izinkan semua,nerima otp atur izin
"semoga segera di perbaiki aplikasinya mybca, karena setelah update terakhir beberapa transaksi sering tidak dapat diproses dan ketika sudah melakukan transfer juga delay notif uang keluar. overall good hanya perlu segera diperbaiki agar jauh lebih baik.",moga baik aplikasi mybca update transaksi tidak proses transfer delay notif uang overall good baik
ganti device mau login lagi ajasusah,ganti device login ajasusah
"biometriknya sering eror, padahal untuk login aman",biometriknya eror login aman
nambah pengalaman dan pengetahuan,nambah alam tahu
semoga tetap amanah dan selalu aman .. untuk sekarang aman aman saja,moga amanah aman aman aman
"gajelas verif muka di hp sendiri gagal mulu, verif di hp temen bisa hadehh",gajelas verif muka hp gagal mulu verif hp temen hadehh
mau masuk tapi susah banget. pas masuk suruh masukin nomor tp pas pilih kode nomor malah ngga ada indonesia. my bca malah tambah ribet sekarang dah,masuk susah pas masuk suruh masukin nomor tp pas pilih kode nomor ngga indonesia bca ribet dah
Aplikasinya lebih payah dr yg sebelumnya,aplikasi payah dr
"ko aneh bayar admin 1 bln bisa 2 kali potongan, tgl 1 10rb sama tgl 15 10rb punya kalian sama ngga sobat",ko aneh bayar admin bln kali potong tgl rb tgl rb ngga sobat
"sbnernya permaaalahnnya apa ya ko tbtb uang tbtb hilang 50rb lebih , jujur ga 1 2 kali aku ngalamin hal tersebut , aku jga udah coba ngosongin beberapa hari trus tf dengan nominal 50 di mbangking ku juga ga msuk pdhal sudah sesuai , tapi gmna lagi ya soalnya aku gajian juga mke bca , tpu jujur rugi bgt kalo tiap bulan uang hilang mulu huhu , di cek dimutasi jga gada transaksinya lagi hadehhh bgt deh",sbnernya permaaalahnnya ko tbtb uang tbtb hilang rb jujur kali ngalamin jga coba ngosongin trus tf nominal mbangking ku msuk pdhal sesuai gmna gaji mke bca tpu jujur rugi bgt kalo uang hilang mulu huhu cek mutasi jga gada transaksi hadehhh bgt deh
"saya setor tunai di salah satu mesin ATM setor 2jt yg masuk cuma 1.9jt..jd uang saya hilang 100rb gt,saya adukan jawaban cs gak enak ,tak memuaskan katanya ini lah itu lah mau ditangani pihak terkait bodo amat ,mau saya adukan ke ojk cuma 100rb biarlah wes Lo makan saja uang ku",setor tunai salah mesin atm setor jt masuk jt jd uang hilang rb gt adu cs enak muas tangan kait bodo adu ojk rb biar wes lo makan uang ku
"hallo kak, saya ingin login ke mybca tapi hp saya gabisa verifikasi muka karna kameranya rusak, boleh izin di bantu",hallo kak login mybca hp gabisa verifikasi muka karna kamera rusak izin bantu
Kenapa sih harus up date ?,sih up date
"sy mau login di aplikasi, setelah masukan username dan password lalu meminta nomor hp, tapi ga ada pilihan untuk kode negara indonesia, kenapa ga ada negara indonesia??? 😌",sy login aplikasi masuk username password nomor hp pilih kode negara indonesia negara indonesia
daftar pakai wifi dikira vpn dan pakai paket data koneksi bermasalah. mau apakah?,daftar pakai wifi vpn pakai paket data koneksi masalah
mybca keluar sendiri lanjut minta login keluar lagi login lagi terus begitu dari 3 hari yg lalu,mybca login login
"apk simpel,, semua jd mudah",apk simpel jd mudah
brengsek verivikasi wajah nya susah banget... angus aja duit gua ga bisa masuk mbca,brengsek verivikasi wajah susah angus duit gua masuk mbca
"setelah diperbaharui kok susah login yaaa, ada yang bisa bantu jelasin?",baharu susah login yaaa bantu jelasin
"admin help kenapa OTP gagal malah nyeret email saya, saya baru migrasi nomer hp dan apps mBCA ke MyBCA",admin help otp gagal nyeret email migrasi nomer hp apps mbca mybca
